FILM, POSTING, CRITIC, AUDIENCE, GENRE
Rebel Moon: Part Two - The Scargiver, Streaming Apr 19; 2024, 15%, 52%, action
Monkey Man, Streaming Apr 23; 2024, 89%, 83%, action
Rebel Moon: Part One - A Child of Fire, Streaming Dec 21; 2023, 21%, 57%, action
Dune: Part Two, Streaming Apr 16; 2024, 93%, 95%, action
Argylle, Streaming Mar 5; 2024, 33%, 72%, action
Kung Fu Panda 4, Streaming Apr 9; 2024, 72%, 86%, action
The Beekeeper, Streaming Jan 30; 2024, 71%, 92%, action
Love Lies Bleeding, Streaming Apr 26; 2024, 94%, 82%, action
Anna, Streaming Aug 27; 2019, 33%, 81%, action
Road House, Streaming Mar 21; 2024, 60%, 53%, action
Rebel Moon: Part Two - The Scargiver, Streaming Apr 19; 2024, 15%, 52%, adventure
Rebel Moon: Part One - A Child of Fire, Streaming Dec 21; 2023, 21%, 57%, adventure
Dune: Part Two, Streaming Apr 16; 2024, 93%, 95%, adventure
Hundreds of Beavers, Streaming Apr 15; 2024, 95%, 84%, adventure
Arthur the King, Streaming Apr 23; 2024, 69%, 97%, adventure
Argylle, Streaming Mar 5; 2024, 33%, 72%, adventure
Kung Fu Panda 4, Streaming Apr 9; 2024, 72%, 86%, adventure
Wish, Streaming Jan 23; 2024, 48%, 81%, adventure
Madame Web, Streaming Mar 15; 2024, 12%, 57%, adventure
The Mummy, Streaming Nov 1; 2015, 61%, 75%, adventure
Kung Fu Panda 4, Streaming Apr 9; 2024, 72%, 86%, animation
Wish, Streaming Jan 23; 2024, 48%, 81%, animation
Justice League: Crisis on Infinite Earths Part One, Streaming Jan 9; 2024, 88%, 63%, animation
Migration, Streaming Jan 23; 2024, 72%, 88%, animation
Megamind vs. the Doom Syndicate, Streaming Mar 1; 2024, 9%, 6%, animation
Justice League: Crisis on Infinite Earths Part Two, Streaming Apr 23; 2024, --, 25%, animation
Woody Woodpecker Goes to Camp, Streaming Apr 12; 2024, 20%, 67%, animation
The Super Mario Bros. Movie, Streaming May 16; 2023, 59%, 95%, animation
Sonic the Hedgehog 2, Streaming May 24; 2022, 69%, 96%, animation
Spider-Man: Across the Spider-Verse, Streaming Aug 8; 2023, 95%, 94%, animation
Your Name, Streaming Jan 31; 2018, 98%, 94%, anime
Grave of the Fireflies, Streaming Mar 11; 2017, 100%, 95%, anime
The Tale of the Princess Kaguya, Streaming Dec 14; 2019, 100%, 90%, anime
A Silent Voice, Streaming Apr 2; 2019, 94%, 93%, anime
Howl's Moving Castle, Streaming Dec 15; 2019, 87%, 93%, anime
My Neighbor Totoro, Streaming Dec 10; 2019, 93%, 94%, anime
Only Yesterday, Streaming Dec 17; 2019, 100%, 82%, anime
The Secret World of Arrietty, Streaming Dec 16; 2019, 94%, 85%, anime
Perfect Blue, Streaming Mar 26; 2019, 83%, 89%, anime
Princess Mononoke, Streaming Dec 16; 2019, 93%, 94%, anime
One Life, Streaming Apr 9; 2024, 90%, 95%, biography
Bob Marley: One Love, Streaming Mar 19; 2024, 43%, 92%, biography
Oppenheimer, Streaming Nov 21; 2023, 93%, 91%, biography
Scoop, Streaming Apr 5; 2024, 77%, 63%, biography
Napoleon, Streaming Jan 9; 2024, 57%, 59%, biography
The Iron Claw, Streaming Feb 13; 2024, 89%, 94%, biography
Amar Singh Chamkila, Streaming Apr 12; 2024, 84%, 98%, biography
The Boys in the Boat, Streaming Jan 16; 2024, 58%, 97%, biography
King Richard, Streaming Nov 19; 2021, 90%, 98%, biography
Priscilla, Streaming Dec 15; 2023, 84%, 63%, biography
Anyone But You, Streaming Feb 20; 2024, 56%, 87%, comedy
Hundreds of Beavers, Streaming Apr 15; 2024, 95%, 84%, comedy
LaRoy, Texas, Streaming Apr 12; 2024, 100%, 64%, comedy
Argylle, Streaming Mar 5; 2024, 33%, 72%, comedy
Kung Fu Panda 4, Streaming Apr 9; 2024, 72%, 86%, comedy
Poor Things, Streaming Feb 27; 2024, 92%, 79%, comedy
Wish, Streaming Jan 23; 2024, 48%, 81%, comedy
Música, Streaming Apr 4; 2024, 98%, 87%, comedy
Dream Scenario, Streaming Dec 22; 2023, 91%, 68%, comedy
Something You Said Last Night, Streaming Apr 23; 2024, 93%, --, comedy
LaRoy, Texas, Streaming Apr 12; 2024, 100%, 64%, crime
Love Lies Bleeding, Streaming Apr 26; 2024, 94%, 82%, crime
Anatomy of a Fall, Streaming Dec 22; 2023, 96%, 90%, crime
What Jennifer Did, Streaming Apr 10; 2024, 60%, 50%, crime
Sleeping Dogs, Streaming Apr 9; 2024, 38%, 86%, crime
Blood for Dust, Streaming Apr 19; 2024, 78%, 73%, crime
The Gentlemen, Streaming Mar 24; 2020, 75%, 84%, crime
The Little Things, Streaming Jan 29; 2021, 45%, 67%, crime
Killers of the Flower Moon, Streaming Dec 5; 2023, 93%, 84%, crime
The Stranger, Streaming Oct 19; 2022, 92%, 75%, crime
What Jennifer Did, Streaming Apr 10; 2024, 60%, 50%, documentary
Hack Your Health: The Secrets of Your Gut, Streaming Apr 26; 2024, --, --, documentary
Tickled, Streaming Apr 17; 2017, 94%, 86%, documentary
Cropsey, Streaming Nov 1; 2016, 91%, 61%, documentary
Brandy Hellville & The Cult of Fast Fashion, Streaming Apr 9; 2024, 100%, 50%, documentary
Tiger, Streaming Apr 22; 2024, --, --, documentary
Brothers in Arms, Streaming Nov 13; 2018, --, 94%, documentary
Hip-Hop and The White House, Streaming Apr 22; 2024, --, --, documentary
The Thin Blue Line, Streaming Apr 28; 2016, 100%, 90%, documentary
An American Bombing: The Road to April 19th, Streaming Apr 16; 2024, --, --, documentary
Rebel Moon: Part Two - The Scargiver, Streaming Apr 19; 2024, 15%, 52%, drama
Rebel Moon: Part One - A Child of Fire, Streaming Dec 21; 2023, 21%, 57%, drama
Dune: Part Two, Streaming Apr 16; 2024, 93%, 95%, drama
Arthur the King, Streaming Apr 23; 2024, 69%, 97%, drama
Argylle, Streaming Mar 5; 2024, 33%, 72%, drama
One Life, Streaming Apr 9; 2024, 90%, 95%, drama
Rust Creek, Streaming Jan 6; 2019, 86%, 61%, drama
The Zone of Interest, Streaming Feb 20; 2024, 93%, 78%, drama
Love Lies Bleeding, Streaming Apr 26; 2024, 94%, 82%, drama
Poor Things, Streaming Feb 27; 2024, 92%, 79%, drama
NCISverse: The First 1,000, Streaming Apr 8; 2024, --, --, entertainment
Beauty and the Beast: A 30th Celebration, Streaming Dec 16; 2022, --, 41%, entertainment
Dirty Daddy: The Bob Saget Tribute, Streaming Jun 10; 2022, 80%, 71%, entertainment
M*A*S*H: The Comedy That Changed Television, Streaming Jan 2; 2024, --, 81%, entertainment
The Weeknd Live at SoFi Stadium, Streaming Feb 25; 2023, --, 81%, entertainment
Yuzuru Hanyu Ice Story 2023 "Gift" at Tokyo Dome, Streaming Jul 14; 2023, --, 99%, entertainment
Barry Manilow's A Very Barry Christmas, Streaming Dec 12; 2023, --, 67%, entertainment
Rebel Moon: Part Two - The Scargiver, Streaming Apr 19; 2024, 14%, 52%, fantasy
Rebel Moon: Part One - A Child of Fire, Streaming Dec 21; 2023, 21%, 57%, fantasy
Dune: Part Two, Streaming Apr 16; 2024, 93%, 95%, fantasy
All of Us Strangers, Streaming Feb 22; 2024, 96%, 91%, fantasy
Wish, Streaming Jan 23; 2024, 48%, 81%, fantasy
The Mummy, Streaming Nov 1; 2015, 61%, 75%, fantasy
Dune, Streaming Oct 22; 2021, 83%, 90%, fantasy
Damsel, Streaming Mar 8; 2024, 56%, 60%, fantasy
Wonka, Streaming Jan 30; 2024, 82%, 91%, fantasy
Ricky Stanicky, Streaming Mar 7; 2024, 48%, 73%, fantasy
One Life, Streaming Apr 9; 2024, 90%, 95%, history
The Zone of Interest, Streaming Feb 20; 2024, 93%, 78%, history
Oppenheimer, Streaming Nov 21; 2023, 93%, 91%, history
Napoleon, Streaming Jan 9; 2024, 57%, 59%, history
Kingdom of Heaven, Streaming Sep 18; 2012, 40%, 72%, history
BlackBerry, Streaming Jun 2; 2023, 98%, 94%, history
The Boys in the Boat, Streaming Jan 16; 2024, 58%, 97%, history
The Promised Land, Streaming Feb 23; 2024, 96%, 94%, history
The Last Duel, Streaming Nov 30; 2021, 85%, 81%, history
Titanic, Streaming Jun 1; 2014, 88%, 69%, history
The Holdovers, Streaming Nov 28; 2023, 97%, 92%, holiday
Thanksgiving, Streaming Dec 19; 2023, 84%, 80%, holiday
A Haunting in Venice, Streaming Oct 31; 2023, 76%, 77%, holiday
Scream VI, Streaming Apr 25; 2023, 76%, 91%, holiday
Jaws, Streaming Jul 22; 2015, 97%, 90%, holiday
Terrifier, Streaming Mar 27; 2018, 55%, 53%, holiday
Scent of a Woman, Streaming May 7; 2015, 85%, 92%, holiday
Halloween, Streaming Mar 18; 2017, 96%, 89%, holiday
Halloween Ends, Streaming Oct 14; 2022, 40%, 57%, holiday
Haunt, Streaming Sep 13; 2019, 70%, 100%, holiday
Late Night with the Devil, Streaming Apr 19; 2024, 97%, 81%, horror
Alien, Streaming Nov 2; 2014, 93%, 94%, horror
Immaculate, Streaming Apr 16; 2024, 71%, 60%, horror
Rust Creek, Streaming Jan 6; 2019, 86%, 61%, horror
Infested, Streaming Apr 26; 2024, 95%, 87%, horror
Men, Streaming Aug 9; 2022, 69%, 39%, horror
Dream Scenario, Streaming Dec 22; 2023, 91%, 68%, horror
Talk to Me, Streaming Sep 12; 2023, 95%, 82%, horror
You'll Never Find Me, Streaming Mar 22; 2024, 79%, 69%, horror
X, Streaming Apr 14; 2022, 94%, 75%, horror
Bob Marley: One Love, Streaming Mar 19; 2024, 43%, 92%, music
Priscilla, Streaming Dec 15; 2023, 84%, 63%, music
Whiplash, Streaming Sep 8; 2016, 94%, 94%, music
Hip-Hop and The White House, Streaming Apr 22; 2024, --, --, music
Elvis, Streaming Aug 9; 2022, 77%, 94%, music
Maestro, Streaming Dec 20; 2023, 79%, 57%, music
Yesterday, Streaming Sep 10; 2019, 63%, 89%, music
Coco, Streaming Feb 13; 2018, 97%, 94%, music
Almost Famous, Streaming Aug 1; 2013, 91%, 92%, music
Amy, Streaming Jul 27; 2016, 96%, 87%, music
Wish, Streaming Jan 23; 2024, 48%, 81%, musical
Música, Streaming Apr 4; 2024, 98%, 87%, musical
Wonka, Streaming Jan 30; 2024, 82%, 91%, musical
The Greatest Hits, Streaming Apr 12; 2024, 49%, 70%, musical
Mean Girls, Streaming Feb 20; 2024, 70%, 62%, musical
La La Land, Streaming Apr 11; 2017, 91%, 81%, musical
This Is Me... Now: A Love Story, Streaming Feb 16; 2024, 75%, 75%, musical
The Greatest Showman, Streaming Dec 22; 2017, 57%, 86%, musical
The Little Mermaid, Streaming Jul 25; 2023, 67%, 94%, musical
The Color Purple, Streaming Jan 16; 2024, 81%, 95%, musical
Tiger, Streaming Apr 22; 2024, --, --, nature
Tigers on the Rise, Streaming Apr 22; 2024, --, --, nature
Polar Bear, Streaming Apr 22; 2022, 74%, 67%, nature
Wild Life, Streaming May 26; 2023, 91%, 72%, nature
After Antarctica, Streaming Apr 2; 2024, --, --, nature
Fin, Streaming Jul 13; 2021, 82%, 89%, nature
Kangaroo Valley, Streaming Dec 14; 2022, 100%, 96%, nature
The Year Earth Changed, Streaming Apr 16; 2021, 100%, 97%, nature
Breaking Boundaries: The Science Of Our Planet, Streaming Jun 4; 2021, 58%, 74%, nature
The Last Dolphin King, Streaming Nov 25; 2022, --, 60%, nature
Taking On Taylor Swift, Streaming Oct 20; 2023, --, 11%, news
January 6th, Streaming Jan 5; 2023, 100%, 53%, news
King Charles: The Boy Who Walked Alone, Streaming May 2; 2023, --, 33%, news
Meet Me in Paris, Streaming Feb 10; 2023, --, 88%, reality
Dinner Party Diaries with José Andrés, Streaming Mar 19; 2024, --, --, reality
Snoop & Martha's Very Tasty Halloween, Streaming Oct 21; 2021, --, 33%, reality
Anyone But You, Streaming Feb 20; 2024, 56%, 87%, romance
Poor Things, Streaming Feb 27; 2024, 92%, 79%, romance
All of Us Strangers, Streaming Feb 22; 2024, 96%, 91%, romance
Música, Streaming Apr 4; 2024, 98%, 87%, romance
365 Days, Streaming Jun 7; 2020, 0%, 31%, romance
Past Lives, Streaming Aug 22; 2023, 95%, 84%, romance
The Greatest Hits, Streaming Apr 12; 2024, 49%, 70%, romance
No Hard Feelings, Streaming Aug 15; 2023, 70%, 87%, romance
I'll See You in My Dreams, Streaming Apr 2; 2016, 93%, 68%, romance
Coup de Chance, Streaming Apr 12; 2024, 81%, 81%, romance
The Wonderful Story of Henry Sugar, Streaming Sep 27; 2023, 95%, 81%, short
Strange Way of Life, Streaming Feb 13; 2024, 76%, 55%, short
The Elephant Whisperers, Streaming Dec 8; 2022, 100%, 90%, short
Bao, Streaming Dec 11; 2018, 89%, 81%, short
Le Pupille, Streaming Dec 16; 2022, 92%, 70%, short
Auntie Edna, Streaming Mar 25; 2021, --, 78%, short
Riley's First Date?, Streaming Mar 25; 2021, --, 85%, short
22 vs. Earth, Streaming Apr 30; 2021, --, 56%, short
38 at the Garden, Streaming Oct 11; 2022, --, 79%, short
A Recipe for Seduction, Streaming Dec 13; 2020, 73%, 59%, short
The Iron Claw, Streaming Feb 13; 2024, 89%, 94%, sports
The Beautiful Game, Streaming Mar 29; 2024, 83%, 67%, sports
The Boys in the Boat, Streaming Jan 16; 2024, 58%, 97%, sports
Next Goal Wins, Streaming Jan 16; 2024, 45%, 84%, sports
Air, Streaming May 12; 2023, 93%, 98%, sports
Lady Ballers, Streaming Dec 1; 2023, 43%, 89%, sports
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World, Streaming May 16; 2023, 42%, 96%, sports
The Swimmers, Streaming Nov 23; 2022, 83%, 86%, sports
The Underdoggs, Streaming Jan 26; 2024, 41%, 58%, sports
The Deepest Breath, Streaming Jul 19; 2023, 85%, 93%, sports
The Most Remote Restaurant in the World, Streaming Oct 31; 2023, --, --, travel
Black Travel Across America, Streaming Feb 7; 2023, --, --, travel
A Very Murray Christmas, Streaming Dec 4; 2015, 68%, 38%, variety
Dolly Parton's Pet Gala, Streaming Feb 21; 2024, --, --, variety
2023: Back That Year Up, Streaming Dec 26; 2023, --, 60%, variety
A Whole Lifetime with Jamie Demetriou, Streaming Feb 28; 2023, 67%, 89%, variety
The Kacey Musgraves Christmas Show, Streaming Nov 29; 2019, 67%, 100%, variety
Harmonious Live!, Streaming Jun 21; 2022, --, --, variety
A Very Demi Holiday Special, Streaming Dec 8; 2023, --, 77%, variety
Celebremos: Eterna Navidad, Streaming Dec 4; 2020, --, --, variety
Huluween Dragstravaganza, Streaming Oct 1; 2022, --, 71%, variety
Jack Whitehall: Christmas with my Father, Streaming Dec 12; 2019, --, 18%, variety
The Zone of Interest, Streaming Feb 20; 2024, 93%, 78%, war
Napoleon, Streaming Jan 9; 2024, 57%, 59%, war
Kingdom of Heaven, Streaming Sep 18; 2012, 40%, 72%, war
Guy Ritchie's The Covenant, Streaming May 9; 2023, 83%, 98%, war
Megan Leavey, Streaming Jul 10; 2017, 86%, 82%, war
Sisu, Streaming May 16; 2023, 94%, 88%, war
Apocalypse Now, Streaming Sep 29; 2013, 97%, 94%, war
All Quiet on the Western Front, Streaming Oct 28; 2022, 90%, 90%, war
Hacksaw Ridge, Streaming Feb 7; 2017, 84%, 91%, war
Dunkirk, Streaming Dec 12; 2017, 92%, 81%, war
The Homesman, Streaming Feb 2; 2015, 81%, 53%, western
The Power of the Dog, Streaming Dec 1; 2021, 94%, 76%, western
Strange Way of Life, Streaming Feb 13; 2024, 76%, 55%, western
The Hateful Eight, Streaming Mar 2; 2017, 75%, 77%, western
Butcher's Crossing, Streaming Nov 7; 2023, 74%, 47%, western
Hell or High Water, Streaming Nov 8; 2016, 97%, 88%, western
The Revenant, Streaming Mar 22; 2016, 78%, 84%, western
Django Unchained, Streaming Mar 24; 2017, 87%, 92%, western
Bone Tomahawk, Streaming Mar 11; 2017, 91%, 74%, western
The Ballad of Buster Scruggs, Streaming Nov 16; 2018, 89%, 78%, western
