FILM, POSTING, CRITIC, AUDIENCE, GENRE 
The Fall Guy, Streaming May 21| 2024, 82%, 87%, action
Madame Web, Streaming Mar 15| 2024, 11%, 57%, action
War for the Planet of the Apes, Streaming Apr 1| 2019, 94%, 84%, action
The Ministry of Ungentlemanly Warfare, Streaming May 10| 2024, 70%, 93%, action
Godzilla x Kong: The New Empire, Streaming May 14| 2024, 54%, 91%, action
Civil War, Streaming May 24| 2024, 81%, 71%, action
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, action
Monkey Man, Streaming Apr 23| 2024, 89%, 84%, action
Mad Max: Fury Road, Streaming Aug 10| 2016, 97%, 86%, action
Rise of the Planet of the Apes, Streaming Nov 10| 2013, 82%, 77%, action
Madame Web, Streaming Mar 15| 2024, 11%, 57%, adventure
War for the Planet of the Apes, Streaming Apr 1| 2019, 94%, 84%, adventure
Godzilla x Kong: The New Empire, Streaming May 14| 2024, 54%, 91%, adventure
Mad Max: Fury Road, Streaming Aug 10| 2016, 97%, 86%, adventure
Rise of the Planet of the Apes, Streaming Nov 10| 2013, 82%, 77%, adventure
Dawn of the Planet of the Apes, Streaming Dec 1| 2015, 91%, 88%, adventure
Dune: Part Two, Streaming Apr 16| 2024, 92%, 95%, adventure
Ghostbusters: Frozen Empire, Streaming May 7| 2024, 43%, 83%, adventure
Sasquatch Sunset, Streaming May 14| 2024, 70%, 31%, adventure
Kung Fu Panda 4, Streaming Apr 9| 2024, 73%, 86%, adventure
Thelma the Unicorn, Streaming May 17| 2024, 69%, 64%, animation
Kung Fu Panda 4, Streaming Apr 9| 2024, 73%, 86%, animation
Wish, Streaming Jan 23| 2024, 48%, 81%, animation
Megamind vs. the Doom Syndicate, Streaming Mar 1| 2024, 9%, 6%, animation
Spider-Man: Across the Spider-Verse, Streaming Aug 8| 2023, 95%, 94%, animation
The Super Mario Bros. Movie, Streaming May 16| 2023, 59%, 95%, animation
Migration, Streaming Jan 23| 2024, 72%, 88%, animation
Spirited Away, Streaming Dec 19| 2019, 96%, 96%, animation
Inside Out, Streaming Nov 3| 2015, 98%, 89%, animation
Orion and the Dark, Streaming Feb 2| 2024, 91%, 62%, animation
Castle in the Sky, Streaming Dec 18| 2019, 96%, 91%, anime
Grave of the Fireflies, Streaming Mar 11| 2017, 100%, 95%, anime
Nausicaä of the Valley of the Wind, Streaming Dec 16| 2019, 90%, 91%, anime
The Tale of the Princess Kaguya, Streaming Dec 14| 2019, 100%, 90%, anime
Your Name, Streaming Jan 31| 2018, 98%, 94%, anime
Howl's Moving Castle, Streaming Dec 15| 2019, 87%, 93%, anime
Only Yesterday, Streaming Dec 17| 2019, 100%, 82%, anime
Kiki's Delivery Service, Streaming Dec 10| 2019, 98%, 89%, anime
My Neighbor Totoro, Streaming Dec 10| 2019, 93%, 94%, anime
The Secret World of Arrietty, Streaming Dec 16| 2019, 94%, 85%, anime
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, biography
Irena's Vow, Streaming May 14| 2024, 86%, 88%, biography
One Life, Streaming Apr 9| 2024, 91%, 95%, biography
Oppenheimer, Streaming Nov 21| 2023, 93%, 91%, biography
Bob Marley: One Love, Streaming Mar 19| 2024, 44%, 92%, biography
Napoleon, Streaming Jan 9| 2024, 57%, 59%, biography
The Boys in the Boat, Streaming Jan 16| 2024, 58%, 97%, biography
Scoop, Streaming Apr 5| 2024, 77%, 62%, biography
Amy, Streaming Jul 27| 2016, 96%, 87%, biography
Society of the Snow, Streaming Jan 4| 2024, 90%, 88%, biography
The Fall Guy, Streaming May 21| 2024, 82%, 87%, comedy
The Idea of You, Streaming May 2| 2024, 82%, 67%, comedy
The Ministry of Ungentlemanly Warfare, Streaming May 10| 2024, 70%, 93%, comedy
Unfrosted, Streaming May 3| 2024, 44%, 52%, comedy
Mother of the Bride, Streaming May 9| 2024, 13%, 15%, comedy
LaRoy, Texas, Streaming Apr 12| 2024, 100%, 62%, comedy
Anyone But You, Streaming Feb 20| 2024, 53%, 87%, comedy
Ghostbusters: Frozen Empire, Streaming May 7| 2024, 43%, 83%, comedy
The Coffee Table, Streaming May 14| 2024, 84%, 75%, comedy
Thelma the Unicorn, Streaming May 17| 2024, 69%, 64%, comedy
The Last Stop in Yuma County, Streaming May 10| 2024, 97%, 71%, crime
LaRoy, Texas, Streaming Apr 12| 2024, 100%, 62%, crime
Love Lies Bleeding, Streaming Apr 26| 2024, 94%, 82%, crime
The Gentlemen, Streaming Mar 24| 2020, 75%, 84%, crime
Anatomy of a Fall, Streaming Dec 22| 2023, 96%, 90%, crime
L.A. Confidential, Streaming Dec 12| 2015, 99%, 94%, crime
End of the Rope, Streaming May 17| 2024, --, 80%, crime
Finestkind, Streaming Dec 15| 2023, 30%, 61%, crime
Killers of the Flower Moon, Streaming Dec 5| 2023, 93%, 84%, crime
The Stranger, Streaming Oct 19| 2022, 92%, 75%, crime
The Blue Angels, Streaming May 23| 2024, 83%, 98%, documentary
Power, Streaming May 17| 2024, 81%, 57%, documentary
Billy & Molly: An Otter Love Story, Streaming May 7| 2024, 100%, 91%, documentary
The Beach Boys, Streaming May 24| 2024, --, --, documentary
Kiss the Future, Streaming May 7| 2024, 100%, 97%, documentary
A House Made of Splinters, Streaming Feb 21| 2023, 98%, 81%, documentary
The Contestant, Streaming May 2| 2024, 91%, 89%, documentary
Amy, Streaming Jul 27| 2016, 96%, 87%, documentary
The Greatest Love Story Never Told, Streaming Feb 27| 2024, 100%, 83%, documentary
The Guardian of the Monarchs, Streaming May 9| 2024, --, --, documentary
Challengers, Streaming May 17| 2024, 89%, 73%, drama
The Last Stop in Yuma County, Streaming May 10| 2024, 97%, 71%, drama
The Fall Guy, Streaming May 21| 2024, 82%, 87%, drama
The Idea of You, Streaming May 2| 2024, 82%, 67%, drama
Civil War, Streaming May 24| 2024, 81%, 71%, drama
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, drama
Dark Waters, Streaming Nov 22| 2019, 89%, 95%, drama
Dune: Part Two, Streaming Apr 16| 2024, 92%, 95%, drama
The Coffee Table, Streaming May 14| 2024, 84%, 75%, drama
American Fiction, Streaming Feb 6| 2024, 93%, 96%, drama
Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor, Streaming May 11| 2024, --, --, entertainment
NCISverse: The First 1,000, Streaming Apr 8| 2024, --, --, entertainment
Beauty and the Beast: A 30th Celebration, Streaming Dec 16| 2022, --, 42%, entertainment
Dirty Daddy: The Bob Saget Tribute, Streaming Jun 10| 2022, 80%, 71%, entertainment
M*A*S*H: The Comedy That Changed Television, Streaming Jan 2| 2024, --, 82%, entertainment
The Weeknd Live at SoFi Stadium, Streaming Feb 25| 2023, --, 81%, entertainment
Yuzuru Hanyu Ice Story 2023 "Gift" at Tokyo Dome, Streaming Jul 14| 2023, --, 99%, entertainment
Barry Manilow's A Very Barry Christmas, Streaming Dec 12| 2023, --, 67%, entertainment
Dune: Part Two, Streaming Apr 16| 2024, 92%, 95%, fantasy
Ghostbusters: Frozen Empire, Streaming May 7| 2024, 43%, 83%, fantasy
Castle in the Sky, Streaming Dec 18| 2019, 96%, 91%, fantasy
All of Us Strangers, Streaming Feb 22| 2024, 97%, 91%, fantasy
Rebel Moon: Part Two - The Scargiver, Streaming Apr 19| 2024, 15%, 49%, fantasy
Dune, Streaming Oct 22| 2021, 83%, 90%, fantasy
Rebel Moon: Part One - A Child of Fire, Streaming Dec 21| 2023, 21%, 57%, fantasy
Damsel, Streaming Mar 8| 2024, 57%, 60%, fantasy
Wonka, Streaming Jan 30| 2024, 82%, 91%, fantasy
Wish, Streaming Jan 23| 2024, 48%, 81%, fantasy
Wicked Little Letters, Streaming May 7| 2024, 79%, 92%, history
Irena's Vow, Streaming May 14| 2024, 86%, 88%, history
One Life, Streaming Apr 9| 2024, 91%, 95%, history
The Zone of Interest, Streaming Feb 20| 2024, 93%, 78%, history
Oppenheimer, Streaming Nov 21| 2023, 93%, 91%, history
The Courier, Streaming Apr 16| 2021, 85%, 95%, history
Power, Streaming May 17| 2024, 81%, 57%, history
Napoleon, Streaming Jan 9| 2024, 57%, 59%, history
The Boys in the Boat, Streaming Jan 16| 2024, 58%, 97%, history
Kingdom of Heaven, Streaming Sep 18| 2012, 40%, 72%, history
The Holdovers, Streaming Nov 28| 2023, 97%, 92%, holiday
Thanksgiving, Streaming Dec 19| 2023, 84%, 80%, holiday
A Haunting in Venice, Streaming Oct 31| 2023, 75%, 77%, holiday
Haunt, Streaming Sep 13| 2019, 70%, 100%, holiday
Jaws, Streaming Jul 22| 2015, 97%, 90%, holiday
Scream VI, Streaming Apr 25| 2023, 76%, 91%, holiday
Terrifier, Streaming Mar 27| 2018, 55%, 53%, holiday
Halloween, Streaming Mar 18| 2017, 96%, 89%, holiday
Halloween Ends, Streaming Oct 14| 2022, 40%, 57%, holiday
Love Actually, Streaming Dec 1| 2015, 64%, 72%, holiday
Late Night with the Devil, Streaming Apr 19| 2024, 97%, 81%, horror
Abigail, Streaming May 7| 2024, 83%, 85%, horror
Sting, Streaming May 14| 2024, 69%, 65%, horror
New Life, Streaming May 3| 2024, 93%, 76%, horror
Upgrade, Streaming Aug 14| 2018, 88%, 88%, horror
The Coffee Table, Streaming May 14| 2024, 84%, 75%, horror
The Strangers, Streaming Jun 15| 2012, 49%, 48%, horror
Arcadian, Streaming Apr 30| 2024, 84%, 55%, horror
Infested, Streaming Apr 26| 2024, 95%, 71%, horror
Dream Scenario, Streaming Dec 22| 2023, 91%, 68%, horror
Bob Marley: One Love, Streaming Mar 19| 2024, 44%, 92%, music
The Beach Boys, Streaming May 24| 2024, --, --, music
Whiplash, Streaming Sep 8| 2016, 94%, 94%, music
Amy, Streaming Jul 27| 2016, 96%, 87%, music
Priscilla, Streaming Dec 15| 2023, 84%, 63%, music
Sing Street, Streaming Nov 12| 2016, 95%, 92%, music
Yesterday, Streaming Sep 10| 2019, 63%, 89%, music
Coco, Streaming Feb 13| 2018, 97%, 94%, music
Maestro, Streaming Dec 20| 2023, 79%, 57%, music
Elvis, Streaming Aug 9| 2022, 77%, 94%, music
Wonka, Streaming Jan 30| 2024, 82%, 91%, musical
Wish, Streaming Jan 23| 2024, 48%, 81%, musical
This Is Me... Now: A Love Story, Streaming Feb 16| 2024, 75%, 74%, musical
Mean Girls, Streaming Feb 20| 2024, 69%, 62%, musical
Música, Streaming Apr 4| 2024, 95%, 87%, musical
La La Land, Streaming Apr 11| 2017, 91%, 81%, musical
The Little Mermaid, Streaming Jul 25| 2023, 67%, 94%, musical
The Greatest Showman, Streaming Dec 22| 2017, 57%, 86%, musical
The Greatest Hits, Streaming Apr 12| 2024, 48%, 68%, musical
Leo, Streaming Nov 21| 2023, 82%, 90%, musical
Billy & Molly: An Otter Love Story, Streaming May 7| 2024, 100%, 91%, nature
Living With Leopards, Streaming May 10| 2024, --, 100%, nature
Tiger, Streaming Apr 22| 2024, 88%, 60%, nature
Wild Life, Streaming May 26| 2023, 91%, 72%, nature
Fin, Streaming Jul 13| 2021, 82%, 89%, nature
Lion Spy: The Hunt for Justice, Streaming May 7| 2024, --, --, nature
Kangaroo Valley, Streaming Dec 14| 2022, 100%, 96%, nature
Polar Bear, Streaming Apr 22| 2022, 74%, 67%, nature
After Antarctica, Streaming Apr 2| 2024, --, --, nature
Wild Beauty: Mustang Spirit of the West, Streaming May 12| 2023, 93%, 97%, nature
Taking On Taylor Swift, Streaming Oct 20| 2023, --, 11%, news
January 6th, Streaming Jan 5| 2023, 100%, 56%, news
King Charles: The Boy Who Walked Alone, Streaming May 2| 2023, --, 33%, news
Meet Me in Paris, Streaming Feb 10| 2023, --, 88%, reality
Dinner Party Diaries with José Andrés, Streaming Mar 19| 2024, --, --, reality
Snoop & Martha's Very Tasty Halloween, Streaming Oct 21| 2021, --, 33%, reality
The Fall Guy, Streaming May 21| 2024, 82%, 87%, romance
The Idea of You, Streaming May 2| 2024, 82%, 67%, romance
Mother of the Bride, Streaming May 9| 2024, 13%, 15%, romance
Anyone But You, Streaming Feb 20| 2024, 53%, 87%, romance
Poor Things, Streaming Feb 27| 2024, 92%, 79%, romance
Turtles All the Way Down, Streaming May 2| 2024, 84%, 93%, romance
365 Days, Streaming Jun 7| 2020, 0%, 31%, romance
Past Lives, Streaming Aug 22| 2023, 95%, 84%, romance
All of Us Strangers, Streaming Feb 22| 2024, 97%, 91%, romance
Upgraded, Streaming Feb 9| 2024, 77%, 67%, romance
The Wonderful Story of Henry Sugar, Streaming Sep 27| 2023, 95%, 81%, short
Strange Way of Life, Streaming Feb 13| 2024, 76%, 55%, short
The Elephant Whisperers, Streaming Dec 8| 2022, 100%, 90%, short
Bao, Streaming Dec 11| 2018, 89%, 81%, short
Three Songs for Benazir, Streaming Jan 24| 2022, --, 63%, short
Le Pupille, Streaming Dec 16| 2022, 92%, 71%, short
Riley's First Date?, Streaming Mar 25| 2021, --, 86%, short
Auntie Edna, Streaming Mar 25| 2021, --, 79%, short
A Recipe for Seduction, Streaming Dec 13| 2020, 73%, 59%, short
My Year of Dicks, Streaming Feb 17| 2023, --, 65%, short
The Iron Claw, Streaming Feb 13| 2024, 89%, 94%, sports
The Boys in the Boat, Streaming Jan 16| 2024, 58%, 97%, sports
The Beautiful Game, Streaming Mar 29| 2024, 85%, 68%, sports
Next Goal Wins, Streaming Jan 16| 2024, 45%, 84%, sports
Air, Streaming May 12| 2023, 93%, 98%, sports
The Roast of Tom Brady, Streaming May 5| 2024, --, 73%, sports
The Final: Attack on Wembley, Streaming May 8| 2024, --, 64%, sports
Lady Ballers, Streaming Dec 1| 2023, 43%, 89%, sports
The Swimmers, Streaming Nov 23| 2022, 83%, 86%, sports
The Deepest Breath, Streaming Jul 19| 2023, 85%, 93%, sports
The Most Remote Restaurant in the World, Streaming Oct 31| 2023, --, --, travel
Black Travel Across America, Streaming Feb 7| 2023, --, --, travel
A Very Murray Christmas, Streaming Dec 4| 2015, 68%, 38%, variety
A Whole Lifetime with Jamie Demetriou, Streaming Feb 28| 2023, 67%, 89%, variety
Dolly Parton's Pet Gala, Streaming Feb 21| 2024, --, --, variety
2023: Back That Year Up, Streaming Dec 26| 2023, --, 60%, variety
A Very Demi Holiday Special, Streaming Dec 8| 2023, --, 77%, variety
Mariah Carey's Magical Christmas Special, Streaming Dec 4| 2020, 86%, 80%, variety
Jack Whitehall: Christmas with my Father, Streaming Dec 12| 2019, --, 18%, variety
The Kacey Musgraves Christmas Show, Streaming Nov 29| 2019, 67%, 100%, variety
Harmonious Live!, Streaming Jun 21| 2022, --, --, variety
Celebremos: Eterna Navidad, Streaming Dec 4| 2020, --, --, variety
Civil War, Streaming May 24| 2024, 81%, 71%, war
Irena's Vow, Streaming May 14| 2024, 86%, 88%, war
The Zone of Interest, Streaming Feb 20| 2024, 93%, 78%, war
Napoleon, Streaming Jan 9| 2024, 57%, 59%, war
Kingdom of Heaven, Streaming Sep 18| 2012, 40%, 72%, war
Kiss the Future, Streaming May 7| 2024, 100%, 97%, war
Guy Ritchie's The Covenant, Streaming May 9| 2023, 83%, 98%, war
Operation Mincemeat, Streaming May 11| 2022, 83%, 66%, war
3 Days in Malay, Streaming Aug 11| 2023, --, 85%, war
Apocalypse Now, Streaming Sep 29| 2013, 97%, 94%, war
The Power of the Dog, Streaming Dec 1| 2021, 94%, 76%, western
The Hateful Eight, Streaming Mar 2| 2017, 75%, 77%, western
Hell or High Water, Streaming Nov 8| 2016, 97%, 88%, western
Among the Willows, Streaming May 14| 2024, --, --, western
Butcher's Crossing, Streaming Nov 7| 2023, 74%, 47%, western
Bone Tomahawk, Streaming Mar 11| 2017, 91%, 74%, western
The Harder They Fall, Streaming Nov 3| 2021, 88%, 93%, western
The Revenant, Streaming Mar 22| 2016, 78%, 84%, western
The Ballad of Buster Scruggs, Streaming Nov 16| 2018, 89%, 78%, western
Once Upon a Time in the West, Streaming Jun 6| 2014, 96%, 94%, western
